"time","offer","offer2","done","player","stage","stage","step","round","timestamp","session"
"3449","66","80","true","840652690269053","[object Object]","[object Object]","NA","NA","1455906914398","lgc100"
"8182","66","80","true","664635711116716","[object Object]","[object Object]","NA","NA","1455906918446","lgc100"
