"questionnaire","q1","q2","player","stage","stage","step","round","timestamp","session"
"true","","-1","681244340026751","[object Object]","[object Object]","NA","NA","1453839034713","lgc100"
"NA","NA","NA","681244340026751","[object Object]","[object Object]","NA","NA","1453839034716","lgc100"
"true","","-1","370513694360852","[object Object]","[object Object]","NA","NA","1453839035690","lgc100"
"NA","NA","NA","370513694360852","[object Object]","[object Object]","NA","NA","1453839036696","lgc100"
