"role","player","stage","stage","step","round","timestamp","session"
"RESPONDENT","681244340026751","[object Object]","[object Object]","NA","NA","1453838935185","lgc100"
"BIDDER","370513694360852","[object Object]","[object Object]","NA","NA","1453838935693","lgc100"
"NA","370513694360852","[object Object]","[object Object]","NA","NA","1453838938875","lgc100"
"NA","681244340026751","[object Object]","[object Object]","NA","NA","1453838941221","lgc100"
"NA","681244340026751","[object Object]","[object Object]","NA","NA","1453838941222","lgc100"
"NA","370513694360852","[object Object]","[object Object]","NA","NA","1453838943701","lgc100"
