"__correct__","howMuch","0","reject","0","disconnect","0","timeUp","quiz","player","stage","stage","step","round","timestamp","session"
"true","1","NA","1","NA","1","NA","false","true","840652690269053","[object Object]","[object Object]","NA","NA","1455906905099","lgc100"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","840652690269053","[object Object]","[object Object]","NA","NA","1455906905101","lgc100"
"true","1","NA","1","NA","1","NA","false","true","664635711116716","[object Object]","[object Object]","NA","NA","1455906910065","lgc100"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","664635711116716","[object Object]","[object Object]","NA","NA","1455906910067","lgc100"
