"time","timeup","done","player","stage","stage","step","round","timestamp","session"
"1983","true","true","350976522546261","[object Object]","[object Object]","NA","NA","1455908154933","lgc100"
"3935","true","true","360176743241027","[object Object]","[object Object]","NA","NA","1455908156231","lgc100"
