"time","offer","offer2","done","player","stage","stage","step","round","timestamp","session"
"9693","45","33","true","74107412714511","[object Object]","[object Object]","NA","NA","1453988623119","lgc100"
"13109","65","22","true","939748075557872","[object Object]","[object Object]","NA","NA","1453988626538","lgc100"
