"time","offer","offer2","done","player","stage","stage","step","round","timestamp","session"
"3368","2","6","true","350976522546261","[object Object]","[object Object]","NA","NA","1455908144058","lgc100"
"11174","2","7","true","360176743241027","[object Object]","[object Object]","NA","NA","1455908152123","lgc100"
